host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews,review_scores_rating,Prices per Person,,,number_of_reviews
,,f,,37.97713,23.74375,Private room in apartment,Private room,8,123,,,15.375,,,2
,,f,"Athina, Greece",37.99081,23.7279,Entire apartment,Entire home/apt,2,40,,100,20,,,4
100,100,t,"Psiri, Athens, Greece",37.97649,23.72615,Entire loft,Entire home/apt,5,90,130,100,18,,,130
100,100,f,"Athens, Attica, Greece",37.99031,23.74472,Entire apartment,Entire home/apt,3,39,22,87,13,,,22
100,98,f,"Athina, Greece",37.96454,23.74705,Private room in apartment,Private room,2,25,208,96,12.5,,,208
100,100,t,"Athina, Greece",37.9759,23.72585,Entire apartment,Entire home/apt,6,284,,89,47.33333333,,,7
,,f,,38.01347,23.72273,Entire apartment,Entire home/apt,4,250,,,62.5,,,0
100,,f,"Athens, Greece",37.9694,23.74663,Entire apartment,Entire home/apt,4,42,212,94,10.5,,,212
,100,f,"Αθηναίων, Αττική, Greece",37.97784,23.72025,Entire loft,Entire home/apt,2,264,155,94,132,,,155
,,f,"Athens, Greece",37.9777,23.70941,Entire apartment,Entire home/apt,2,60,36,99,30,,,36
,,,"Ampelokipoi, Athens, Greece, Greece",37.99938,23.75884,Entire apartment,Entire home/apt,4,80,,,20,,,0
,,f,,38.00051,23.73201,Entire apartment,Entire home/apt,3,25,20,80,8.333333333,,,20
,,f,,38.02287,23.73882,Entire apartment,Entire home/apt,2,50,,,25,,,0
95,98,t,"Athens, Greece",37.97934,23.7276,Entire apartment,Entire home/apt,4,43,21,97,10.75,,,21
100,62,f,"Athens, Greece",37.96373,23.71848,Entire loft,Entire home/apt,5,41,140,98,8.2,,,140
100,33,f,"Athens, Greece",37.98158,23.74968,Entire apartment,Entire home/apt,2,40,45,98,20,,,45
100,100,f,"Ano Karellas, Greece",38.00657,23.74059,Entire apartment,Entire home/apt,2,23,43,92,11.5,,,43
100,46,f,"Athina, Greece",37.9785,23.71125,Entire apartment,Entire home/apt,4,80,50,96,20,,,50
100,100,t,"Athens, Attica, Greece",37.9758,23.71656,Entire apartment,Entire home/apt,4,47,128,99,11.75,,,128
100,100,f,"Athens, Greece",37.99521,23.73604,Entire apartment,Entire home/apt,5,40,95,90,8,,,95
,,f,"Athens, Attica, Greece",37.9697,23.74267,Entire apartment,Entire home/apt,4,49,,100,12.25,,,7
,,f,"Athens, Greece",37.96364,23.72917,Private room in apartment,Private room,2,50,19,96,25,,,19
100,,f,"Athens, Greece",37.97619,23.75667,Entire apartment,Entire home/apt,3,33,95,97,11,,,95
,,f,"Athens, Greece",37.97519,23.7314,Entire apartment,Entire home/apt,5,140,63,95,28,,,63
,100,t,"Athens, Greece",38.00044,23.71742,Entire house,Entire home/apt,3,34,23,99,11.33333333,,,23
100,,f,,37.9837,23.7282,Entire apartment,Entire home/apt,4,25,,,6.25,,,0
100,100,f,"Athina, Attica, Greece",37.97627,23.72345,Private room in house,Private room,2,19,147,89,9.5,,,147
100,100,f,"Αθήνα, Αττική, Greece",37.98094,23.73634,Entire apartment,Entire home/apt,2,54,64,96,27,,,64
100,100,f,"Athens, Greece",38.01082,23.726,Entire apartment,Entire home/apt,2,19,13,100,9.5,,,13
100,,t,"Athens, Attica, Greece",37.96171,23.73057,Entire apartment,Entire home/apt,4,120,218,96,30,,,218
,,f,,37.97174,23.73211,Entire apartment,Entire home/apt,3,100,,,33.33333333,,,0
100,100,t,"Athens, Greece",37.99621,23.73599,Entire apartment,Entire home/apt,2,50,69,100,25,,,69
,100,f,"Athina, Greece",37.97611,23.72492,Entire apartment,Entire home/apt,4,40,221,92,10,,,221
,,f,,37.99511,23.72796,Entire apartment,Entire home/apt,4,37,,87,9.25,,,3
,,f,,37.99843,23.73238,Entire apartment,Entire home/apt,4,65,,,16.25,,,1
100,,f,,37.96071,23.73311,Entire apartment,Entire home/apt,2,40,11,100,20,,,11
,100,f,"Athens, Greece",37.96682,23.72763,Entire apartment,Entire home/apt,2,30,222,92,15,,,222
,,f,"Athina, Greece",37.988,23.73713,Entire apartment,Entire home/apt,5,45,,,9,,,0
10,33,f,"Athina, Greece",38.01528,23.73417,Entire apartment,Entire home/apt,8,27,36,93,3.375,,,36
100,100,f,"Monastiraki .Αθήνα, Αττικη, Greece",37.97238,23.72543,Private room in guest suite,Private room,2,16,63,87,8,,,63
100,71,f,"Athens, Greece",37.98074,23.74655,Entire apartment,Entire home/apt,4,50,66,97,12.5,,,66
100,83,t,,37.99133,23.75537,Entire apartment,Entire home/apt,4,49,69,99,12.25,,,69
,,f,"Ampelokipoi, Greece",37.99193,23.77055,Private room in apartment,Private room,1,15,12,73,15,,,12
100,100,t,"Athens, Attika, Greece",37.99479,23.76533,Entire apartment,Entire home/apt,4,85,245,100,21.25,,,245
100,75,f,"Athina, Greece",37.98727,23.73499,Entire apartment,Entire home/apt,3,24,148,91,8,,,148
100,100,f,"Athens, Centre, Greece",37.98549,23.73669,Entire apartment,Entire home/apt,2,39,135,91,19.5,,,135
100,60,f,"Athens, Greece",37.99622,23.7404,Entire apartment,Entire home/apt,3,50,11,92,16.66666667,,,11
,,,"Athina, Greece",37.9793,23.72305,Entire apartment,Entire home/apt,4,65,13,91,16.25,,,13
100,100,t,"Athens, Greece",37.99969,23.73037,Entire apartment,Entire home/apt,4,26,97,95,6.5,,,97
,,t,"Athens, Greece",37.99269,23.71638,Entire apartment,Entire home/apt,4,50,203,98,12.5,,,203
100,100,f,"Athens, Koukaki, Greece",37.96608,23.72913,Entire apartment,Entire home/apt,4,50,88,95,12.5,,,88
,,,"Athens, Greece",37.96727,23.7109,Entire house,Entire home/apt,4,140,75,100,35,,,75
0,,f,"Athènes, Greece",37.98813,23.72912,Entire apartment,Entire home/apt,6,50,,40,8.333333333,,,2
100,100,t,"Athina, Greece",37.96993,23.74257,Entire apartment,Entire home/apt,3,28,128,94,9.333333333,,,128
100,0,f,,37.99688,23.7667,Entire apartment,Entire home/apt,4,100,,,25,,,0
69,100,t,,37.9627,23.72353,Entire apartment,Entire home/apt,3,14,171,95,4.666666667,,,171
100,100,t,"Athens, Attica, Greece",37.97008,23.74137,Entire apartment,Entire home/apt,4,32,18,91,8,,,18
88,100,f,"Athina, Greece",37.99663,23.7184,Entire apartment,Entire home/apt,7,73,148,94,10.42857143,,,148
83,100,f,"Athens, Attica, Greece",38.01235,23.7294,Entire house,Entire home/apt,4,80,23,92,20,,,23
0,,f,"Athina, Greece",37.99,23.72755,Entire apartment,Entire home/apt,5,40,35,88,8,,,35
100,95,f,"Athina, Greece",38.00127,23.72003,Entire apartment,Entire home/apt,4,35,151,91,8.75,,,151
,0,t,"Athina, Greece",37.97665,23.72245,Entire apartment,Entire home/apt,4,40,142,96,10,,,142
100,89,f,"Athina, Greece",37.96447,23.73379,Entire apartment,Entire home/apt,4,50,38,95,12.5,,,38
